Code,Exercice,Bareme,Taux_reussite,Note_NGX
Q1,Exercice 1,1.5,0.93,4
Q2,Exercice 1,1.5,0.73,0
Q1,Exercice 2,1,0.78,4
Q2,Exercice 2,0.5,0.66,1.5
Q3,Exercice 2,0.5,0.72,3
Q4,Exercice 2,0.5,0.75,2
Q1,Exercice 3,1,0.88,2
Q2,Exercice 3,1.5,0.92,4
Q1,Exercice 4,0.5,1,4
Q2,Exercice 4,0.5,0.89,4
Q3,Exercice 4,1,0.98,4
Q4,Exercice 4,1,0.68,3
Q5,Exercice 4,0.5,0.73,2
Q6,Exercice 4,1.5,0.39,0
Q1,Achat d'actions,0.25,0.78,1
Q2,Achat d'actions,0.25,0.73,2
Q3,Achat d'actions,1,0.87,4
Q4,Achat d'actions,1,0.74,4
Q5,Achat d'actions,0.5,0.73,4
Q6,Achat d'actions,1.5,0.34,2
Q7,Achat d'actions,1.5,0.27,4
Q1,Bresenham,0.25,0.52,4
Q2,Bresenham,0.25,0.49,4
Q3,Bresenham,0.5,0.51,4
Q4,Bresenham,1.5,0.1,0.5
Q5,Bresenham,1,0,0

